,Name,Born,Died,Hometown,Biography,Image,Genre,Website,Influences,Rating,Rating_count,Review_count,Works,Typical_series,Member Since,Twitter
10,Fyodor Dostoevsky,"November 11, 1821","February 09, 1881","in Moscow, Russian Empire","Fyodor Mikhailovich Dostoevsky was a Russian novelist, short story writer, essayist, and journalist. His literary works explore human psychology in the troubled political, social, and spiritual atmospheres of 19th-century Russia, and engage with a variety of philosophical and religious themes. His most acclaimed novels include Crime and Punishment (1866), The Idiot (1869), Demons (1872), and The Brothers Karamazov (1880).
 
Many literary critics rate him as one of the greatest novelists in all of world literature, as multiple of his works are considered highly influential masterpieces. His 1864 novella Notes from Underground is considered to be one of the first works of existentialist literature. As such, he is also looked upon as a philosoph",https://images.gr-assets.com/authors/1629693671p5/3137322.jpg,"Fiction, Psychology, Philosophy",http://www.fedordostoevsky.ru/,Nikolai Gogol Charles Dickens,4.19,"2,145,709","120,475","3,407","['The Brothers Karamazov', 'The Idiot, in 3 Vol', 'The Brothers Karamazov', ""Writer's Diary""]",,
11,Charlotte Brontë,"April 21, 1816","March 31, 1855","in Thornton, Yorkshire, England","Charlotte Brontë was an English novelist, the eldest out of the three famous Brontë sisters whose novels have become standards of English literature. See also Emily Brontë and Anne Brontë.

Charlotte Brontë was born in Thornton, Yorkshire, England, the third of six children, to Patrick Brontë (formerly ""Patrick Brunty""), an Irish Anglican clergyman, and his wife, Maria Branwell. In April 1820 the family moved a few miles to Haworth, a remote town on the Yorkshire moors, where Patrick had been appointed Perpetual Curate. This is where the Brontë children would spend most of their lives. Maria Branwell Brontë died from what was thought to be cancer on 15 September 1821, leaving five daughters and a son to the care of her spinster sister Elizabe",https://images.gr-assets.com/authors/1335001351p5/1036615.jpg,Literature & Fiction,,"Anne Brontë, Emily Brontë",4.03,"3,726,743","107,218","2,133","['La saga de Verdópolis', 'El reino de Angria', 'Shirley (3 volumes)']",,
12,Lewis Carroll,"January 27, 1832","January 14, 1898","in Daresbury, Cheshire, England","The Reverend Charles Lutwidge Dodgson, better known by the pen name Lewis Carroll, was an English author, mathematician, logician, Anglican clergyman and photographer.

His most famous writings are Alice's Adventures in Wonderland and its sequel Through the Looking-Glass as well as the poems ""The Hunting of the Snark"" and ""Jabberwocky"", all considered to be within the genre of literary nonsense.

Oxford scholar, Church of England Deacon, University Lecturer in Mathematics and Logic, academic author of learned theses, gifted pioneer of portrait photography, colourful writer of imaginative genius and yet a shy and pedantic man, Lewis Carroll stands pre-eminent in the pantheon of inventive literary geniuses.

He also has works published under his re",https://images.gr-assets.com/authors/1571554989p5/8164.jpg,"Children's, Poetry, Fiction",,"Edward Lear, Gottfried Wilhelm Leibniz, George MacDonald, Jonathan Swift, Catherine Sinclair",4.05,"1,586,796","46,701","4,671","[""Alice's Adventures in Wonderland"", 'Sylvie and Bruno']",,
13,S.E. Hinton,,,"in Tulsa, Oklahoma, The United States","S.E. Hinton, was and still is, one of the most popular and best known writers of young adult fiction. Her books have been taught in some schools, and banned from others. Her novels changed the way people look at young adult literature. 

Susan Eloise Hinton was born in Tulsa, Oklahoma. She has always enjoyed reading but wasn't satisfied with the literature that was being written for young adults, which influenced her to write novels like The Outsiders. That book, her first novel, was published in 1967 by Viking.",https://images.gr-assets.com/authors/1206505616p5/762707.jpg,"Literature & Fiction, Young Adult",http://www.sehinton.com,,4.1,"1,357,494","50,491",48,[],May 2013,
14,John Green,,,"in Indianapolis, The United States","Librarian Note: There is more than one author in the Goodreads database with this name.

John Green's first novel, Looking for Alaska, won the 2006 Michael L. Printz Award presented by the American Library Association. His second novel, An Abundance of Katherines, was a 2007 Michael L. Printz Award Honor Book and a finalist for the Los Angeles Times Book Prize. His next novel, Paper Towns, is a New York Times bestseller and won the Edgar Allen Poe Award for Best YA Mystery. In January 2012, his most recent novel, The Fault in Our Stars, was met with wide critical acclaim, unprecedented in Green's career. The praise included rave reviews in Time Magazine and The New York Times, on NPR, and from award-winning author Markus Zusak. The book also",https://images.gr-assets.com/authors/1353452301p5/1406384.jpg,"Literature & Fiction, Young Adult, Young Adult Romance",http://www.johngreenbooks.com/,"J.D. Salinger, Herman Melville, F. Scott Fitzgerald, David Foster Wallace, Walt Whitman",3.99,"9,511,297","436,418",331,['Zombicorns'],January 2013,realjohngreen
15,Aldous Huxley,"July 26, 1894","November 22, 1963","in Godalming, Surrey, England, The United Kingdom","Brave New World
 (1932), best-known work of British writer Aldous Leonard Huxley, paints a grim picture of a scientifically organized utopia. 

This most prominent member of the famous Huxley family of England spent the part of his life from 1937 in Los Angeles in the United States until his death. Best known for his novels and wide-ranging output of essays, he also published short stories, poetry, travel writing, and film stories and scripts. Through novels and essays, Huxley functioned as an examiner and sometimes critic of social mores, norms and ideals. Spiritual subjects, such as parapsychology and philosophical mysticism, interested Huxley, a humanist, towards the end of his life. People widely acknowledged him as one of the pre-emin",https://images.gr-assets.com/authors/1547138835p5/3487.jpg,"Literature & Fiction, Poetry, Nonfiction",,"H.G. Wells,  William Blake, Dickens, Krishnamurti, Julian Huxley, Thomas Arnold, Mary Augusta Ward, James Watt, Henry Ford, Albert Hofmann",3.99,"2,139,334","58,661",955,"['سلسلة الفكر الحديث', 'Aldous Huxley Complete Essays']",,
16,Gabriel García Márquez,"March 06, 1927","April 17, 2014","in Aracataca, Magdalena, Colombia","Gabriel José de la Concordia Garcí­a Márquez was a Colombian novelist, short-story writer, screenwriter and journalist. Garcí­a Márquez, familiarly known as ""Gabo"" in his native country, was considered one of the most significant authors of the 20th century. In 1982, he was awarded the Nobel Prize in Literature.

He studied at the University of Bogotá and later worked as a reporter for the Colombian newspaper El Espectador and as a foreign correspondent in Rome, Paris, Barcelona, Caracas, and New York. He wrote many acclaimed non-fiction works and short stories, but is best-known for his novels, such as One Hundred Years of Solitude (1967) and Love in the Time of Cholera (1985). His works have achieved significant critical acclaim and widespr",https://images.gr-assets.com/authors/1588856705p5/13450.jpg,"Literature & Fiction, Short Stories, Magical Realism",,"William Faulkner, Franz Kafka, Juan Rulfo, Fyodor Dostoyevsky, Ernest Hemingway, Julio Cortázar, G.K. Chesterton, Virginia Woolf, Sophocles, James Joyce, Günter Grass, Yasunari Kawabata",3.99,"2,073,223","110,591",832,['Serie Taller de cine de García Márquez'],,
17,Dan Brown,,,"in Exeter, New Hampshire, The United States","Dan Brown is the author of numerous #1 bestselling novels, including The Da Vinci Code, which has become one of the best selling novels of all time as well as the subject of intellectual debate among readers and scholars. Brown’s novels are published in 52 languages around the world with 200 million copies in print.

In 2005, Brown was named one of the 100 Most Influential People in the World by TIME Magazine, whose editors credited him with “keeping the publishing industry afloat; renewed interest in Leonardo da Vinci and early Christian history; spiking tourism to Paris and Rome; a growing membership in secret societies; the ire of Cardinals in Rome; eight books denying the claims of the novel and seven guides to read along with it; a flood",https://images.gr-assets.com/authors/1399396714p5/630.jpg,"Mystery & Thrillers, Fiction, Suspense",http://www.danbrown.com,,3.88,"8,272,917","207,079",434,['Robert Langdon'],April 2014,AuthorDanBrown
18,Margaret Mitchell,"November 08, 1900","August 16, 1949","in Atlanta, Georgia, The United States","Librarian Note: There is more than one author in the Goodreads database with this name. 

Margaret Munnerlyn Mitchell, popularly known as Margaret Mitchell, was an American author, who won the Pulitzer Prize in 1937 for her novel, Gone with the Wind, published in 1936. The novel is one of the most popular books of all time, selling more than 28 million copies. An American film adaptation, released in 1939, became the highest-grossing film in the history of Hollywood, and received a record-breaking number of Academy Awards.
-Wikipedia",https://images.gr-assets.com/authors/1185481392p5/11081.jpg,"Romance, History, Fiction",,,4.31,"1,221,865","24,870",203,"['Gone with the Wind Split-Volume (2) Editions', 'Gone with the Wind Split-Volume (3) Editions', 'Gone with the Wind Split-Volume (4) Editions', 'Gone with the Wind Split-Volume (5) Editions']",,
19,J.K. Rowling,"July 31, 1965",,"in Yate, South Gloucestershire, England, The United Kingdom","See also: Robert Galbraith
Although she writes under the pen name J.K. Rowling, pronounced like rolling, her name when her first Harry Potter book was published was simply Joanne Rowling. Anticipating that the target audience of young boys might not want to read a book written by a woman, her publishers demanded that she use two initials, rather than her full name. As she had no middle name, she chose K as the second initial of her pen name, from her paternal grandmother Kathleen Ada Bulgen Rowling. She calls herself Jo and has said, ""No one ever called me 'Joanne' when I was young, unless they were angry."" Following her marriage, she has sometimes used the name Joanne Murray when conducting personal business. During the Leveson Inquiry she",https://images.gr-assets.com/authors/1596216614p5/1077326.jpg,"Fiction, Young Adult, Fantasy",http://www.jkrowling.com,"Jane Austen, Geoffrey Chaucer, Oscar Wilde, C.S. Lewis",4.46,"34,545,118","771,506",608,"['Harry Potter', 'Hogwarts Library', 'Fantastic Beasts: The Original Screenplay', 'Pottermore Presents', 'Harry Potter Persian/Farsi Split-Volume Edition']",,jk_rowling
20,Oscar Wilde,"October 16, 1854","November 30, 1900","in Dublin, Ireland","Oscar Fingal O'Flahertie Wills Wilde was an Irish playwright, poet, and author of numerous short stories, and one novel. Known for his biting wit, and a plentitude of aphorisms, he became one of the most successful playwrights of the late Victorian era in London, and one of the greatest celebrities of his day. Several of his plays continue to be widely performed, especially The Importance of Being Earnest. 

As the result of a widely covered series of trials, Wilde suffered a dramatic downfall and was imprisoned for two years hard labour after being convicted of ""gross indecency"" with other men. After Wilde was released from prison he set sail for Dieppe by the night ferry. He never returned to Ireland or Britain, and died in poverty.",https://images.gr-assets.com/authors/1673611182p5/3565.jpg,"Theatre, Poetry, Humor and Comedy, Fiction, Children's",http://www.cmgww.com/historic/wilde/,"Balzac, Walter Pater, Edgar Allan Poe, John Ruskin, Peter Kropotkin, Lewis Carroll, Robert Louis Stevenson",4.11,"2,366,822","110,533","5,509",['Macmillan 1962 Series of Classic Fairy Stories'],,
21,William Goldman,"August 12, 1931","November 16, 2018","in Highland Park, Illinois, The United States","Goldman grew up in a Jewish family in Highland Park, Illinois, a Chicago suburb, and obtained a BA degree at Oberlin College in 1952 and an MA degree at Columbia University in 1956.His brother was the late James Goldman, author and playwright.

William Goldman had published five novels and had three plays produced on Broadway before he began to write screenplays. Several of his novels he later used as the foundation for his screenplays.

 In the 1980s he wrote a series of memoirs looking at his professional life on Broadway and in Hollywood (in one of these he famously remarked that ""Nobody knows anything""). He then returned to writing novels. He then adapted his novel The Princess Bride to the screen, which marked his re-entry into screenwriti",https://images.gr-assets.com/authors/1198704782p5/12521.jpg,"Literature & Fiction, Biographies & Memoirs, Screenplays & Plays",http://www.openroadmedia.com/william-goldman,"Irwin Shaw, Ingmar Bergman, Ross Macdonald, Ira Levin, Stephen King",4.25,"926,843","27,413",105,['Babe Levy'],,
22,Audrey Niffenegger,,,in The United States,"Audrey Niffenegger (born June 13, 1963 in South Haven, Michigan) is a writer and artist. She is also a professor in the MFA Creative Writing Program at Columbia College Chicago. 

Niffenegger's debut novel, The Time Traveler's Wife (2003), was a national bestseller. The Time Traveler's Wife is an unconventional love story that centers on a man with a strange genetic disorder that causes him to unpredictably time-travel and his wife, an artist, who has to cope with his constant absence. 

Her Fearful Symmetry (2009), Niffenegger's second novel, is set in London's Highgate Cemetery where, during research for the book, Niffenegger acted as a tour guide.

Niffenegger has also published graphic and illustrated novels including: The Adventuress (2006),",https://images.gr-assets.com/authors/1367342548p5/498072.jpg,Literature & Fiction,http://www.audreyniffenegger.com/,,3.95,"1,873,531","69,419",42,[],September 2009,AANiffenegger
23,Madeleine L'Engle,"November 29, 1918","September 06, 2007","in New York City, New York, The United States","Madeleine L'Engle was an American writer best known for her young adult fiction, particularly the Newbery Medal-winning A Wrinkle in Time and its sequels A Wind in the Door, A Swiftly Tilting Planet, and Many Waters. Her works reflect her strong interest in modern science: tesseracts, for example, are featured prominently in A Wrinkle in Time, mitochondrial DNA in A Wind in the Door, organ regeneration in The Arm of the Starfish, and so forth.

""Madeleine was born on November 29th, 1918, and spent her formative years in New York City. Instead of her school work, she found that she would much rather be writing stories, poems and journals for herself, which was reflected in her grades (not the best). However, she was not discouraged.

At age 12,",https://images.gr-assets.com/authors/1305256804p5/106.jpg,"Literature & Fiction, Science Fiction & Fantasy, Biographies & Memoirs",http://www.madeleinelengle.com/,,4.0,"1,709,387","64,374",190,"['Time Quintet', 'Kairos', 'Austin Family Chronicles', ""O'Keefe Family"", 'Crosswicks Journals']",,
24,Veronica Roth,,,in The United States,"Veronica Roth is the New York Times best-selling author of Arch-Conspirator, Poster Girl, Chosen Ones, the short story collection The End and Other Beginnings, the Carve the Mark duology, and the Divergent series. She lives in Chicago, Illinois with her husband and dog. 

Sign up for Veronica's newsletter to hear news, writing thoughts, book recommendations, etc.!",https://images.gr-assets.com/authors/1588707274p5/4039811.jpg,"Science Fiction, Young Adult, Fantasy",http://veronicarothbooks.com,,4.02,"7,078,988","304,070",71,"['Divergent', 'Carve the Mark', 'The Chosen Ones', 'Divergent Japanese Split-Volume Edition']",April 2010,
25,Paulo Coelho,,,"in Rio de Janeiro, Brazil","The Brazilian author PAULO COELHO was born in 1947 in the city of Rio de Janeiro. Before dedicating his life completely to literature, he worked as theatre director and actor, lyricist and journalist. In 1986, PAULO COELHO did the pilgrimage to Saint James of Compostella, an experience later to be documented in his book The Pilgrimage. In the following year, COELHO published The Alchemist. Slow initial sales convinced his first publisher to drop the novel, but it went on to become one of the best selling Brazilian books of all time. Other titles include Brida (1990), The Valkyries (1992), By the river Piedra I sat Down and Wept (1994), the collection of his best columns published in the Brazilian newspaper Folha de São Paulo entitle Maktub",https://images.gr-assets.com/authors/1201840056p5/566.jpg,"Literature & Fiction, Nonfiction, Biographies & Memoirs",http://www.paulocoelhoblog.com,Khalil Gibran Henry Miller Jorge Luis Borges Jorge Amado,3.81,"4,157,272","185,660",341,['On the Seventh Day'],January 2008,
26,Rick Riordan,,,"in San Antonio, Texas, The United States","Rick Riordan is the #1 New York Times bestselling author of many books, including the Percy Jackson series.",https://images.gr-assets.com/authors/1679846356p5/15872.jpg,"Children's, Science Fiction & Fantasy",http://www.rickriordan.com/,,4.34,"12,215,193","505,991",203,"['Camp Half-Blood Chronicles', 'Percy Jackson and the Olympians', 'The Heroes of Olympus', 'The Kane Chronicles', 'The Trials of Apollo']",November 2013,rickriordan
27,George R.R. Martin,"September 20, 1948",,"in Bayonne, New Jersey, The United States","George Raymond Richard ""R.R."" Martin was born September 20, 1948, in Bayonne, New Jersey. His father was Raymond Collins Martin, a longshoreman, and his mother was Margaret Brady Martin. He has two sisters, Darleen Martin Lapinski and Janet Martin Patten. 

Martin attended Mary Jane Donohoe School and Marist High School. He began writing very young, selling monster stories to other neighborhood children for pennies, dramatic readings included. Later he became a comic book fan and collector in high school, and began to write fiction for comic fanzines (amateur fan magazines). Martin's first professional sale was made in 1970 at age 21: The Hero, sold to Galaxy, published in February, 1971 issue. Other sales followed. 

In 1970 Martin received a",https://images.gr-assets.com/authors/1649011787p5/346732.jpg,"Fantasy, Science Fiction, Horror",http://www.georgerrmartin.com/,"J.R.R. Tolkien, Walter Scott, Robert E. Howard, Robert A. Heinlein, Stan Lee, F. Scott Fitzgerald, Roger Zelazny, H. P. Lovecraft",4.37,"6,736,418","231,081","1,387","['The Tales of Dunk and Egg', 'A Targaryen History', 'Fire & Blood', 'Dreamsongs', 'Game of Thrones / Das Lied von Eis und Feuer (Audible)']",,GRRMspeaking
28,Arthur Golden,"December 06, 1956",,"in Chattanooga, Tennessee, The United States","Arthur Golden was born in Chattanooga, Tennessee, and was educated at Harvard College, where he received a degree in art history, specializing in Japanese art. In 1980 he earned an M.A. in Japanese history from Columbia University, where he also learned Mandarin Chinese. Following a summer in Beijing University, he worked in Tokyo, and, after returning to the United States, earned an M.A. in English from Boston University. He resides in Brookline, Massachusetts, with his wife and two children.",https://images.gr-assets.com/authors/1193518006p5/614.jpg,"Literature & Fiction, Historical Fiction",,,4.15,"1,970,462","35,232",12,[],,
29,Stephenie Meyer,"December 24, 1973",,"in Connecticut, The United States","Stephenie Meyer is the author of the bestselling Twilight series, The Host, and The Chemist. Twilight was one of 2005's most talked about novels and within weeks of its release the book debuted at #5 on The New York Times bestseller list. Among its many accolades, Twilight was named an ""ALA Top Ten Books for Young Adults,"" an Amazon.com ""Best Book of the Decade So Far,"" and a Publishers Weekly Best Book of the Year. 

Meyer graduated from Brigham Young University with a degree in English Literature. She lives in Arizona with her husband and three sons.",https://images.gr-assets.com/authors/1596739281p5/941441.jpg,"Science Fiction & Fantasy, Paranormal Romance, Young Adult",http://www.stepheniemeyer.com/,"Orson Scott Card, Jane Austen, William Shakespeare, Maeve Binchy, Charlotte Bronte, Daphne DuMaurier, L.M. Montgomery, Louisa May Alcott, Eva Ibbotson, William Goldman, Douglas Adams, Janet Evanovich",3.69,"13,707,260","407,121",107,"['The Twilight Saga', 'The Host', 'トワイライト（単行本）', 'トワイライト（文庫）']",,
30,Khaled Hosseini,"March 04, 1965",,"in Kabul, Afghanistan","Hosseini was born in Kabul, Afghanistan, in 1965. In 1970 Hosseini and his family moved to Iran where his father worked for the Embassy of Afghanistan in Tehran. In 1973 Hosseini's family returned to Kabul, and Hosseini's youngest brother was born in July of that year.
In 1976, when Hosseini was 11 years old, Hosseini's father obtained a job in Paris, France, and moved the family there. They were unable to return to Afghanistan because of the Saur Revolution in which the PDPA communist party seized power through a bloody coup in April 1978. Instead, a year after the Soviet invasion of Afghanistan, in 1980 they sought political asylum in the United States and made their residence in San Jose, California.
Hosseini graduated from Independence Hi",https://images.gr-assets.com/authors/1359753468p5/569.jpg,Literature & Fiction,http://www.khaledhosseini.com/,,4.34,"4,997,010","208,905",39,[],April 2012,
31,Markus Zusak,"June 23, 1975",,"in Sydney, Australia","Markus Zusak is the author of five books, including the international bestseller, 
The Book Thief
, which spent more than a decade on the New York Times bestseller list, and is translated into more than forty languages – establishing Zusak as one of the most successful authors to come out of Australia.

To date, Zusak has held the number one position at Amazon.com, Amazon.co.uk, the New York Times bestseller list, as well as in countries across South America, Europe and Asia. 

His books, 
The Underdog, Fighting Ruben Wolfe, When Dogs Cry
 (also titled 
Getting the Girl
), 
The Messenger
 (or 
I am the Messenger
) and 
The Book Thief
 have been awarded numerous honours ranging from literary prizes to readers choice awards to prizes",https://images.gr-assets.com/authors/1537240528p5/11466.jpg,"Literature & Fiction, Young Adult",http://www.zusakbooks.com,,4.36,"2,668,623","164,772",22,['Wolfe Brothers'],July 2011,Markus_Zusak
32,C.S. Lewis,"November 29, 1898","November 22, 1963","in Belfast, Ireland","Librarian Note: There is more than one author in the Goodreads database with this name.

Clive Staples Lewis was one of the intellectual giants of the twentieth century and arguably one of the most influential writers of his day. He was a Fellow and Tutor in English Literature at Oxford University until 1954. He was unanimously elected to the Chair of Medieval and Renaissance Literature at Cambridge University, a position he held until his retirement. He wrote more than thirty books, allowing him to reach a vast audience, and his works continue to attract thousands of new readers every year. His most distinguished and popular accomplishments include Mere Christianity, Out of the Silent Planet, The Great Divorce, The Screwtape Letters, and the",https://images.gr-assets.com/authors/1564671804p5/1069006.jpg,"Christian, Religion, Children's",http://www.cslewis.com/,"George MacDonald, G.K. Chesterton, J.R.R. Tolkien, Olaf Stapledon,  David Lindsay, James I, King of Scots",4.17,"7,450,762","198,265","1,225","['The Chronicles of Narnia (Chronological Order)', 'The Chronicles of Narnia (Publication Order)', 'The Space Trilogy', 'C.S. Lewis Colour Gift Books', 'The Collected Letters of C.S. Lewis']",,
33,Frances Hodgson Burnett,"November 24, 1849","October 29, 1924","in Cheetham Hill, Manchester, England, The United Kingdom","Frances Eliza Hodgson was the daughter of ironmonger Edwin Hodgson, who died three years after her birth, and his wife Eliza Boond. She was educated at The Select Seminary for Young Ladies and Gentleman until the age of fifteen, at which point the family ironmongery, then being run by her mother, failed, and the family emigrated to Knoxville, Tennessee. Here Hodgson began to write, in order to supplement the family income, assuming full responsibility for the family upon the death of her mother, in 1870. In 1872 she married Dr. Swan Burnett, with whom she had two sons, Lionel and Vivian. The marriage was dissolved in 1898. In 1900 Burnett married actor Stephen Townsend until 1902 when they got divorced. Following her great success as a nove",https://images.gr-assets.com/authors/1197934848p5/2041.jpg,"Children's Books, Literature & Fiction",,,4.16,"1,491,928","41,386","1,545","['Emily Fox-Seton', 'A Lady of Quality', 'The Head of the House of Coombe', 'The Good Wolf']",,
